step,completed_agents,J1,J2,blocked_agents,step_time
0,0,156,9,9,0.0014202594757080078
1,0,142,9,9,0.007146120071411133
2,0,140,8,9,0.008609771728515625
3,0,140,8,9,0.014683723449707031
4,0,140,8,9,0.0064792633056640625
5,0,140,8,9,0.004405021667480469
6,0,134,8,9,0.006379127502441406
7,0,126,8,8,0.007062196731567383
8,3,113,8,27,0.0015959739685058594
9,0,108,6,5,0.008064746856689453
10,0,94,6,5,0.006684303283691406
11,0,95,6,6,0.005721092224121094
12,1,88,5,4,0.005784034729003906
13,1,81,5,4,0.0070972442626953125
14,2,78,5,5,0.00968170166015625
15,1,75,5,5,0.006712436676025391
16,2,73,5,4,0.0022089481353759766
17,5,57,5,23,0.006775379180908203
18,4,56,4,7,0.0057373046875
19,4,55,4,8,0.008074283599853516
20,4,56,4,8,0.006589651107788086
21,4,63,4,7,0.003820657730102539
22,3,60,3,8,0.0060272216796875
23,4,58,3,6,0.0064427852630615234
24,5,58,3,5,0.0071909427642822266
25,5,58,3,5,0.009272575378417969
26,10,54,3,18,0.006472110748291016
27,11,54,3,6,0.008296489715576172
28,11,51,3,7,0.0071277618408203125
29,11,49,3,9,0.007331371307373047
30,10,49,3,7,0.006791830062866211
31,12,43,3,9,0.0065844058990478516
32,11,42,2,8,0.006833314895629883
33,11,42,2,8,0.0066525936126708984
34,11,41,2,7,0.006954669952392578
35,10,35,2,11,0.006705760955810547
36,10,34,2,9,0.006669521331787109
37,10,34,2,7,0.006976127624511719
38,11,34,2,8,0.00650787353515625
39,11,35,1,6,0.006438493728637695
40,11,33,1,8,0.006498813629150391
41,9,37,1,9,0.006405830383300781
42,10,34,1,10,0.005735874176025391
43,11,32,1,10,0.006664752960205078
44,13,32,1,12,0.006600856781005859
45,16,31,1,6,0.0073394775390625
46,17,30,1,5,0.006753206253051758
47,18,30,1,5,0.007552146911621094
48,18,30,1,3,0.008575677871704102
49,17,29,1,5,0.006932497024536133
50,18,29,1,4,0.0033986568450927734
51,18,29,1,3,0.007030487060546875
52,18,28,1,4,0.007400035858154297
53,17,25,1,10,0.007119178771972656
54,19,27,0,9,0.007100343704223633
55,20,26,0,8,0.007451295852661133
56,21,26,0,4,0.006942033767700195
57,20,26,0,6,0.007446765899658203
58,19,25,0,8,0.007082462310791016
59,18,25,0,8,0.007122516632080078
60,19,23,0,7,0.006843090057373047
61,18,23,0,8,0.007378339767456055
62,20,21,0,9,0.0072078704833984375
63,21,20,0,7,0.0069735050201416016
64,22,19,0,7,0.007730722427368164
65,21,19,0,7,0.007868289947509766
66,21,19,0,7,0.00699305534362793
67,21,18,0,7,0.007653713226318359
68,20,18,0,7,0.007133960723876953
69,20,18,0,7,0.00730133056640625
70,20,18,0,7,0.007151365280151367
71,21,16,0,9,0.008529901504516602
72,21,16,0,7,0.007124662399291992
73,22,16,0,6,0.007174491882324219
74,22,16,0,6,0.007149934768676758
