step,completed_agents,J1,J2,blocked_agents,step_time
0,1,102,7,4,0.0007417201995849609
1,0,103,6,5,0.0016078948974609375
2,0,103,6,5,0.002315521240234375
3,0,103,6,5,0.002825498580932617
4,0,97,6,5,0.002361297607421875
5,0,94,5,5,0.002545595169067383
6,0,94,5,5,0.0023305416107177734
7,0,94,5,5,0.0025327205657958984
8,2,82,5,19,0.002794027328491211
9,0,86,3,3,0.0028209686279296875
10,0,82,3,3,0.0028295516967773438
11,0,82,3,3,0.0026574134826660156
12,0,82,3,3,0.0026590824127197266
13,0,81,3,4,0.002580881118774414
14,0,81,3,3,0.0026459693908691406
15,0,81,3,3,0.0025985240936279297
16,0,81,3,3,0.002570629119873047
17,2,65,3,19,0.0028607845306396484
18,1,61,2,5,0.0027654170989990234
19,2,59,2,4,0.0026438236236572266
20,2,59,2,4,0.00269317626953125
21,2,59,2,4,0.0026941299438476562
22,2,59,2,4,0.002689838409423828
23,2,59,2,4,0.0028095245361328125
24,2,59,2,4,0.002742290496826172
25,3,58,2,5,0.002682209014892578
26,10,37,2,16,0.0029823780059814453
27,7,48,0,3,0.003203868865966797
28,7,46,0,3,0.0029435157775878906
29,7,44,0,3,0.0030264854431152344
30,6,44,0,4,0.002871274948120117
31,7,44,0,3,0.0028836727142333984
32,6,42,0,3,0.0011982917785644531
33,7,36,0,2,0.002840280532836914
34,7,36,0,2,0.0028672218322753906
35,10,34,0,12,0.004865169525146484
36,10,32,0,4,0.003429889678955078
37,9,32,0,4,0.003095865249633789
38,9,32,0,4,0.0031533241271972656
39,9,32,0,4,0.002992391586303711
40,9,33,0,5,0.001840829849243164
41,9,33,0,4,0.0030014514923095703
42,9,33,0,4,0.0031082630157470703
43,9,33,0,4,0.00305938720703125
44,9,27,0,11,0.0031621456146240234
45,11,26,0,6,0.002961397171020508
46,11,26,0,4,0.0030553340911865234
47,10,24,0,5,0.0030364990234375
48,8,24,0,5,0.0030231475830078125
49,8,23,0,7,0.006543397903442383
50,7,21,0,7,0.0029196739196777344
51,8,21,0,6,0.003078460693359375
52,7,21,0,7,0.002959012985229492
53,8,18,0,9,0.0022461414337158203
54,8,19,0,8,0.003271341323852539
55,9,18,0,8,0.0033638477325439453
56,10,17,0,7,0.0009255409240722656
57,11,17,0,4,0.0017328262329101562
58,11,17,0,4,0.0016372203826904297
59,11,17,0,4,0.0030672550201416016
60,10,17,0,5,0.003021717071533203
61,10,15,0,5,0.0033516883850097656
62,11,13,0,6,0.003000020980834961
63,11,12,0,7,0.0030999183654785156
64,11,11,0,6,0.0030388832092285156
65,13,10,0,5,0.003018617630004883
66,12,10,0,4,0.0030601024627685547
67,12,10,0,4,0.0013260841369628906
68,12,10,0,4,0.003107786178588867
69,12,10,0,4,0.0031409263610839844
70,12,10,0,4,0.003014087677001953
71,14,9,0,4,0.003206014633178711
72,14,8,0,4,0.003507852554321289
73,14,8,0,3,0.0032835006713867188
74,15,7,0,4,0.00104522705078125
75,15,7,0,3,0.0031309127807617188
76,15,7,0,3,0.0016765594482421875
77,16,7,0,2,0.003130197525024414
78,16,7,0,2,0.003220081329345703
79,14,7,0,3,0.003208160400390625
80,15,7,0,2,0.0033118724822998047
81,16,6,0,3,0.0032622814178466797
82,16,6,0,2,0.0031745433807373047
83,16,6,0,2,0.003162860870361328
84,16,6,0,2,0.0031931400299072266
85,15,6,0,3,0.0031578540802001953
86,14,6,0,4,0.003242969512939453
87,15,5,0,5,0.004171609878540039
