step,completed_agents,J1,J2,blocked_agents,step_time
0,0,664,18,4,0.004629850387573242
1,0,664,18,4,0.01861429214477539
2,0,664,18,4,0.0038607120513916016
3,0,658,18,4,0.01267242431640625
4,0,646,18,4,0.01542043685913086
5,0,642,18,4,0.013406038284301758
6,0,638,18,4,0.01283407211303711
7,0,638,18,4,0.005613565444946289
8,2,598,18,50,0.013371706008911133
9,2,597,17,1,0.013746023178100586
10,2,595,17,1,0.013404130935668945
11,2,595,17,1,0.013886690139770508
12,2,583,17,1,0.013112068176269531
13,2,575,17,1,0.01347041130065918
14,2,573,17,1,0.013255596160888672
15,2,573,17,1,0.01378321647644043
16,2,573,17,1,0.01622462272644043
17,3,532,17,48,0.01361989974975586
18,2,532,17,2,0.014269351959228516
19,2,532,17,2,0.013292789459228516
20,2,532,17,2,0.013502836227416992
21,2,528,17,2,0.013495206832885742
22,2,524,17,2,0.021225690841674805
23,2,524,17,2,0.013493537902832031
24,2,512,17,2,0.013534069061279297
25,2,512,17,2,0.01463174819946289
26,3,471,17,48,0.014078140258789062
27,3,454,16,5,0.007279157638549805
28,3,452,16,4,0.014889955520629883
29,3,452,16,4,0.015082836151123047
30,3,448,16,4,0.013856887817382812
31,3,442,16,3,0.013896465301513672
32,2,442,16,7,0.01738715171813965
33,3,430,16,5,0.013804912567138672
34,2,430,15,5,0.014209747314453125
35,6,396,15,45,0.013837099075317383
36,4,388,14,8,0.014861106872558594
37,5,380,14,6,0.015807628631591797
38,4,370,14,6,0.015216588973999023
39,4,365,14,5,0.01468348503112793
40,4,365,14,4,0.014391422271728516
41,4,358,14,5,0.014589786529541016
42,4,349,13,5,0.018483400344848633
43,4,343,13,4,0.014161825180053711
44,6,302,13,39,0.015090227127075195
45,7,298,12,10,0.014451265335083008
46,6,289,12,10,0.014917373657226562
47,6,280,12,9,0.016742229461669922
48,6,274,12,7,0.014882087707519531
49,6,270,12,7,0.014842987060546875
50,6,267,12,8,0.015218257904052734
51,5,268,12,8,0.016879796981811523
52,6,269,12,7,0.014505386352539062
53,8,248,12,36,0.01529240608215332
54,9,240,12,14,0.015007257461547852
55,9,238,12,14,0.015022039413452148
56,9,236,12,13,0.015626192092895508
57,10,229,11,11,0.016876697540283203
58,10,229,11,11,0.017436504364013672
59,10,229,11,13,0.015283584594726562
60,10,226,11,11,0.016306638717651367
61,10,222,10,10,0.018100261688232422
62,13,207,10,28,0.016956567764282227
63,12,210,8,15,0.01767253875732422
64,11,209,7,16,0.020614147186279297
65,10,207,6,14,0.005397319793701172
66,9,206,5,13,0.017769813537597656
67,9,206,5,11,0.0202178955078125
68,10,201,5,14,0.00421452522277832
69,10,189,5,15,0.008692264556884766
70,12,189,5,10,0.01661539077758789
71,17,173,5,25,0.004736423492431641
72,18,163,5,13,0.0045185089111328125
73,17,159,4,13,0.016740798950195312
74,17,157,4,13,0.01647782325744629
75,15,156,4,12,0.017040014266967773
76,13,156,4,12,0.016576051712036133
77,13,154,4,14,0.0054934024810791016
78,14,159,4,17,0.004378795623779297
79,12,165,3,15,0.01682758331298828
80,13,156,3,26,0.020139694213867188
81,13,147,3,18,0.017283201217651367
82,15,144,3,20,0.01640176773071289
83,19,152,2,16,0.016454458236694336
84,17,154,1,13,0.01968216896057129
85,16,154,1,12,0.016356945037841797
86,14,158,1,15,0.022785663604736328
87,16,155,1,16,0.01576972007751465
88,15,155,1,13,0.016363859176635742
89,17,147,1,21,0.020041942596435547
90,13,147,1,15,0.016539573669433594
91,15,130,1,17,0.023059368133544922
92,17,127,1,16,0.023006916046142578
93,16,126,1,15,0.016376972198486328
94,15,125,1,16,0.01629805564880371
95,17,123,1,15,0.01763463020324707
96,18,127,1,16,0.016980648040771484
97,19,121,1,14,0.01678943634033203
98,20,113,1,22,0.017282485961914062
99,19,112,1,16,0.017663240432739258
100,20,128,1,18,0.017050981521606445
101,19,124,1,16,0.01668715476989746
102,20,123,1,16,0.01685810089111328
103,21,126,1,17,0.01786017417907715
104,21,125,1,16,0.016956329345703125
105,22,124,1,16,0.014385700225830078
106,20,126,1,16,0.021152257919311523
107,24,121,1,21,0.018713951110839844
108,26,118,1,15,0.01819586753845215
109,25,116,1,14,0.017877817153930664
110,24,116,1,15,0.01730942726135254
111,24,116,1,14,0.01758432388305664
112,25,115,1,14,0.017343521118164062
113,24,114,1,16,0.017627477645874023
114,25,113,1,16,0.018945932388305664
115,24,113,1,15,0.01887226104736328
116,26,109,1,20,0.017625808715820312
117,26,107,1,19,0.017973661422729492
118,25,106,1,16,0.010825872421264648
119,24,106,1,16,0.019069433212280273
120,25,105,1,17,0.018065452575683594
121,25,103,1,16,0.018608808517456055
122,25,102,1,16,0.017270565032958984
123,26,101,1,16,0.018552541732788086
124,27,101,1,14,0.022490978240966797
125,27,96,1,17,0.01823592185974121
126,31,90,1,15,0.0199892520904541
127,30,89,1,11,0.02084827423095703
128,32,89,1,7,0.018009185791015625
129,31,91,1,7,0.01878499984741211
130,28,90,1,9,0.01934337615966797
131,27,90,1,10,0.02052474021911621
132,25,90,1,12,0.019167423248291016
133,26,90,1,11,0.010765790939331055
134,29,86,1,14,0.019652128219604492
135,28,83,1,14,0.018077850341796875
136,27,82,1,14,0.018785715103149414
137,26,81,1,14,0.020563840866088867
138,28,79,1,14,0.017644882202148438
139,29,78,1,13,0.01855611801147461
140,28,78,1,11,0.01946091651916504
141,29,78,1,10,0.01911759376525879
142,28,80,1,10,0.018377304077148438
143,27,78,1,13,0.0182647705078125
144,27,76,1,13,0.01768660545349121
145,28,74,1,13,0.01911163330078125
146,27,74,1,11,0.020030498504638672
147,30,72,1,12,0.01760244369506836
148,30,70,1,11,0.01814103126525879
149,31,74,1,8,0.019756793975830078
