step,completed_agents,J1,J2,blocked_agents,step_time
0,0,507,22,5,0.005698442459106445
1,0,501,22,5,0.004861116409301758
2,0,501,22,5,0.018492460250854492
3,0,493,22,4,0.013895034790039062
4,0,495,22,4,0.01465606689453125
5,0,495,22,4,0.013194561004638672
6,0,495,22,4,0.013008356094360352
7,0,493,22,4,0.013491153717041016
8,1,455,22,48,0.014738082885742188
9,1,445,22,3,0.01502537727355957
10,1,432,20,2,0.014008522033691406
11,1,431,20,3,0.014244794845581055
12,1,430,19,3,0.014984130859375
13,1,426,19,2,0.013725519180297852
14,1,426,19,2,0.01381993293762207
15,1,426,19,1,0.01378774642944336
16,1,426,19,1,0.013653993606567383
17,4,388,19,43,0.014963388442993164
18,3,370,17,8,0.01428365707397461
19,3,360,17,6,0.01421809196472168
20,4,355,16,7,0.014895200729370117
21,2,351,14,6,0.01447439193725586
22,1,339,14,4,0.013856649398803711
23,0,328,14,5,0.013581991195678711
24,0,312,14,5,0.013736724853515625
25,0,306,14,5,0.013431310653686523
26,4,277,14,40,0.013757705688476562
27,7,275,14,10,0.01668834686279297
28,5,278,13,10,0.015639305114746094
29,6,269,13,12,0.014848947525024414
30,6,269,13,11,0.015110015869140625
31,6,268,13,10,0.017744064331054688
32,6,262,13,9,0.014911651611328125
33,6,258,13,8,0.015248775482177734
34,7,255,13,8,0.015298604965209961
35,9,235,12,33,0.01540827751159668
36,9,234,11,12,0.016646862030029297
37,8,234,11,10,0.015467405319213867
38,8,231,11,12,0.005718231201171875
39,7,233,10,10,0.015375137329101562
40,7,232,10,9,0.015167713165283203
41,7,221,10,9,0.009920358657836914
42,6,231,9,7,0.015137434005737305
43,5,227,9,8,0.015244722366333008
44,8,201,9,28,0.015054702758789062
45,9,198,8,10,0.007925987243652344
46,7,194,6,9,0.015132427215576172
47,6,198,5,13,0.01568293571472168
48,7,191,5,7,0.015504121780395508
49,6,198,4,9,0.016509294509887695
50,6,199,4,11,0.014976978302001953
51,6,199,4,8,0.011110544204711914
52,8,199,4,10,0.014679193496704102
53,10,188,3,25,0.01584029197692871
54,12,187,3,10,0.009955883026123047
55,11,199,2,7,0.015908241271972656
56,12,190,2,9,0.015946626663208008
57,12,187,2,10,0.01603102684020996
58,11,181,2,8,0.016083240509033203
59,10,166,2,12,0.016059398651123047
60,12,162,2,7,0.02086782455444336
61,11,159,2,10,0.016333580017089844
62,12,144,2,26,0.017080307006835938
63,13,142,2,11,0.015487909317016602
64,13,143,2,9,0.017032146453857422
65,14,141,2,10,0.016706466674804688
66,15,138,2,10,0.017391443252563477
67,16,136,2,7,0.013619422912597656
68,17,129,2,10,0.01679515838623047
69,17,129,2,7,0.01710987091064453
70,17,130,2,8,0.017670869827270508
71,23,118,2,23,0.01759171485900879
72,23,131,1,9,0.01788783073425293
73,24,130,1,9,0.017926931381225586
74,24,128,1,12,0.01754450798034668
75,26,127,1,9,0.018517017364501953
76,25,125,1,9,0.019898176193237305
77,23,121,1,14,0.02451181411743164
78,25,117,1,11,0.01445770263671875
79,26,115,1,13,0.02150726318359375
80,26,107,1,22,0.01808023452758789
81,27,105,1,16,0.020865917205810547
82,25,105,1,16,0.018916606903076172
83,24,104,1,17,0.020641803741455078
84,22,104,1,18,0.01807713508605957
85,22,104,1,20,0.018474817276000977
86,24,102,1,19,0.03018331527709961
87,23,93,1,19,0.018360376358032227
88,25,92,1,18,0.01820969581604004
89,25,90,1,20,0.018274784088134766
90,26,90,1,15,0.02389359474182129
91,25,90,1,16,0.02009892463684082
92,26,76,1,19,0.004385709762573242
93,28,85,0,15,0.01934814453125
94,27,83,0,15,0.01924276351928711
95,28,83,0,16,0.0186612606048584
96,30,75,0,11,0.018855571746826172
97,30,74,0,11,0.018636226654052734
98,29,72,0,15,0.018483400344848633
99,28,72,0,13,0.01687002182006836
100,28,72,0,13,0.018061161041259766
101,26,72,0,14,0.005006074905395508
102,27,71,0,15,0.01956462860107422
103,27,69,0,17,0.018161535263061523
104,28,69,0,16,0.0209500789642334
105,27,66,0,15,0.020788908004760742
106,29,65,0,14,0.018703937530517578
107,29,62,0,14,0.019976377487182617
108,26,64,0,14,0.018156766891479492
109,28,63,0,13,0.01778888702392578
110,25,63,0,12,0.020050525665283203
111,24,63,0,14,0.01824498176574707
112,24,61,0,16,0.010890960693359375
113,23,60,0,17,0.01846623420715332
114,24,59,0,17,0.01981186866760254
115,25,53,0,19,0.02556157112121582
116,27,50,0,20,0.020367860794067383
117,28,50,0,14,0.020623207092285156
118,28,48,0,16,0.015711545944213867
119,26,46,0,15,0.007730245590209961
120,28,41,0,14,0.02107715606689453
121,29,36,0,11,0.019792556762695312
122,29,37,0,11,0.013073205947875977
123,25,36,0,16,0.019851207733154297
124,27,28,0,12,0.02013850212097168
125,29,25,0,15,0.018280029296875
126,29,25,0,11,0.013483285903930664
127,30,25,0,13,0.02040719985961914
128,30,26,0,12,0.020382404327392578
129,29,25,0,12,0.018550395965576172
130,30,24,0,11,0.020495176315307617
131,32,23,0,10,0.022127151489257812
132,33,22,0,9,0.02017951011657715
133,32,22,0,7,0.019961833953857422
134,33,20,0,9,0.02037525177001953
135,33,20,0,7,0.01997089385986328
136,34,19,0,8,0.021794795989990234
137,36,17,0,9,0.020390987396240234
138,37,15,0,8,0.020388364791870117
139,36,17,0,7,0.020246028900146484
140,37,16,0,8,0.022334575653076172
141,38,15,0,7,0.009385347366333008
142,38,15,0,5,0.02062511444091797
143,39,14,0,6,0.020246267318725586
144,39,14,0,5,0.020562171936035156
145,39,14,0,5,0.020534038543701172
146,40,13,0,6,0.023818016052246094
147,41,11,0,7,0.022753000259399414
148,41,11,0,5,0.020880460739135742
149,43,10,0,4,0.021408557891845703
150,44,9,0,4,0.021768808364868164
151,44,9,0,3,0.02094244956970215
152,44,9,0,3,0.021828174591064453
153,44,9,0,3,0.021229028701782227
154,44,9,0,3,0.025313138961791992
155,44,9,0,3,0.022602558135986328
156,44,8,0,4,0.025075674057006836
157,44,8,0,3,0.02044510841369629
158,44,8,0,3,0.02025747299194336
159,44,8,0,3,0.026341676712036133
160,44,8,0,3,0.020318984985351562
161,43,8,0,4,0.02177906036376953
162,44,8,0,3,0.020104169845581055
163,44,8,0,3,0.020476102828979492
164,45,7,0,4,0.027804136276245117
165,44,7,0,3,0.020816802978515625
166,44,7,0,3,0.02211618423461914
167,44,7,0,3,0.021510601043701172
168,44,7,0,3,0.020807266235351562
169,44,7,0,3,0.021308183670043945
170,44,7,0,3,0.020262956619262695
171,44,7,0,3,0.02404475212097168
172,44,7,0,3,0.021833181381225586
173,45,6,0,4,0.021259307861328125
174,45,6,0,2,0.022879600524902344
175,45,6,0,2,0.01109623908996582
176,46,5,0,3,0.020964384078979492
177,46,5,0,2,0.021062374114990234
178,46,5,0,2,0.020848751068115234
179,46,5,0,2,0.02087998390197754
180,46,5,0,2,0.023464441299438477
181,46,5,0,2,0.021417856216430664
182,46,5,0,2,0.02303624153137207
183,46,5,0,2,0.023148536682128906
184,46,5,0,2,0.025526762008666992
185,46,5,0,2,0.02593255043029785
186,46,5,0,2,0.020982027053833008
187,46,5,0,2,0.020697355270385742
188,46,5,0,2,0.022512197494506836
189,46,5,0,2,0.006918668746948242
190,46,5,0,2,0.024466514587402344
191,46,5,0,2,0.02128291130065918
192,46,5,0,2,0.022423267364501953
193,46,5,0,2,0.021559715270996094
194,46,5,0,2,0.007884025573730469
195,46,5,0,2,0.020812273025512695
196,46,5,0,2,0.02061772346496582
197,46,5,0,2,0.021676063537597656
198,46,5,0,2,0.020877838134765625
199,46,5,0,2,0.022089481353759766
200,46,5,0,2,0.020528316497802734
201,46,5,0,2,0.020885705947875977
202,46,5,0,2,0.02356553077697754
203,46,5,0,2,0.024539947509765625
204,46,19,0,1,0.022605180740356445
205,46,19,0,1,0.021364927291870117
206,46,19,0,1,0.024930953979492188
207,46,19,0,1,0.02263045310974121
208,46,19,0,1,0.021539926528930664
209,46,19,0,1,0.0217134952545166
210,46,19,0,1,0.027173519134521484
211,46,19,0,1,0.02527904510498047
212,46,18,0,2,0.020381450653076172
213,46,18,0,1,0.013370513916015625
214,46,18,0,1,0.022488832473754883
215,46,18,0,1,0.022708892822265625
216,46,18,0,1,0.023430347442626953
217,46,18,0,1,0.02405238151550293
218,46,18,0,1,0.02346634864807129
219,46,18,0,1,0.023998498916625977
220,46,18,0,1,0.02172994613647461
221,46,17,0,2,0.02313518524169922
222,46,17,0,1,0.02103590965270996
223,46,17,0,1,0.031397104263305664
224,46,17,0,1,0.013699054718017578
225,46,17,0,1,0.021618127822875977
226,46,17,0,1,0.02203536033630371
227,46,17,0,1,0.021375417709350586
228,46,17,0,1,0.023325443267822266
229,46,17,0,1,0.021405458450317383
230,46,16,0,2,0.021654844284057617
231,46,16,0,1,0.022202014923095703
232,46,16,0,1,0.023163795471191406
233,46,16,0,1,0.018079280853271484
234,46,16,0,1,0.025026798248291016
235,46,16,0,1,0.022371768951416016
236,46,16,0,1,0.02148890495300293
237,46,16,0,1,0.023187637329101562
238,46,16,0,1,0.022753000259399414
239,46,15,0,2,0.020568370819091797
240,46,15,0,1,0.022468090057373047
241,46,15,0,1,0.027422428131103516
242,46,15,0,1,0.022379636764526367
243,46,15,0,1,0.02320384979248047
244,46,15,0,1,0.02425837516784668
245,46,15,0,1,0.022107601165771484
246,46,15,0,1,0.021521329879760742
247,46,15,0,1,0.02125859260559082
248,46,14,0,2,0.021882295608520508
249,46,14,0,1,0.021602630615234375
250,46,14,0,1,0.023737668991088867
251,46,14,0,1,0.021620750427246094
252,46,14,0,1,0.023653745651245117
253,46,14,0,1,0.022524356842041016
254,46,14,0,1,0.023728132247924805
255,46,14,0,1,0.022960186004638672
256,46,14,0,1,0.021248579025268555
257,46,13,0,2,0.02189183235168457
